Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect
64.98,912.57,8.77,759.17,6374.30,52.24,3.8099,0.7233,0.2062
66.37,774.25,3.09,1228.28,7994.19,7.33,1.8935,0.8185,0.2053
43.5,1237.71,7.41,639.56,8310.54,14.54,1.5358,0.801,0.217
52.83,492.08,13.84,914.93,893.94,85.11,1.7104,0.9313,0.2577
44.87,2275.61,7.38,780.70,8991.69,88.79,3.7984,0.8054,0.1876
69.38,1520.79,12.29,1703.95,3134.42,71.27,2.5891,0.8618,0.2313
61.51,1459.87,9.01,1939.13,4120.08,46.05,1.152,0.7739,0.224
51.92,1651.14,4.41,1616.68,7384.45,80.37,3.2458,0.8468,0.2225
43.15,1343.90,14.01,989.18,6206.63,10.1,1.2374,0.7567,0.2282
51.27,444.13,1.69,1116.94,8322.54,84.17,0.8967,0.8444,0.1909
51.74,1566.99,9.32,374.36,3755.39,31.46,1.6041,0.9028,0.2231
65,1767.98,3.85,1591.80,3502.35,76.91,1.287,0.7153,0.1788
61.98,1188.55,1.39,1297.35,334.48,59.7,2.8685,0.8225,0.2233
70.17,1847.56,8.94,1896.41,4331.76,85.72,2.4326,0.928,0.2286
56.56,821.36,8.88,522.26,6755.39,77.2,3.2995,0.7463,0.2177
44.99,810.28,12.47,1616.98,2833.64,79.27,2.5303,0.7516,0.2443
64.46,694.45,13.12,1470.03,4331.77,56.44,2.1953,0.8151,0.2443
66.02,1101.95,12.83,649.98,2075.23,74.39,2.5834,0.9034,0.2504
59.48,2021.18,7.32,1436.17,7207.17,67.61,2.2513,0.8354,0.217
66.36,1984.21,11.16,1939.36,601.77,14.54,0.8128,0.8234,0.1764
57.27,1122.90,10.22,1927.73,6582.09,57.94,3.1425,0.7303,0.2308
58.22,1522.11,7.53,1538.47,3554.77,13.34,4.1612,0.9235,0.1538
55.09,1776.97,10.57,223.60,426.36,77.62,2.2062,0.7877,0.2527
41.9,848.85,16.63,1837.33,7955.39,6.01,2.2124,0.7667,0.2456
44.61,707.46,3.57,1417.37,4563.57,88.11,0.8443,0.802,0.1887
42.1,2263.23,15.91,737.29,5598.48,35.84,3.9015,0.8026,0.1786
61.94,1577.15,1.16,496.10,6829.21,15.34,4.0417,0.8123,0.1669
51.38,2281.27,5.57,356.99,6115.54,83.53,3.6219,0.8631,0.2132
57.75,1035.69,5.22,227.83,6818.32,4.18,1.0635,0.9027,0.2027
70.84,1742.55,11.07,1605.97,7109.74,42.03,3.9371,0.7238,0.1814
49.25,812.85,2.5,591.24,5504.20,68.78,0.7653,0.8195,0.1751
54.53,887.54,15.5,176.96,3431.41,28.36,2.2878,0.8025,0.2804
65.85,1372.69,14.57,907.31,2295.43,47.27,2.4907,0.7135,0.242
48.57,1000.59,11.52,1074.40,8413.82,62.56,3.6974,0.8914,0.1788
43.59,706.45,8.17,460.82,9035.35,84.98,3.3965,0.7341,0.1953
50.57,890.79,16.38,215.71,3357.45,9.28,3.5639,0.7364,0.2511
46.36,451.26,14.61,499.77,1082.14,14.14,3.8201,0.7218,0.2677
71.56,1745.25,8.87,1459.13,2104.34,45.49,2.4018,0.7554,0.2161
67.58,1334.40,12.38,290.50,6260.14,37.43,3.5029,0.7501,0.2209
61.85,564.45,10.04,1216.21,1644.33,36.74,0.9249,0.7879,0.2369
69.65,714.33,10.41,416.14,7275.19,26.6,2.2877,0.8567,0.2434
67.43,580.50,5.96,512.62,8600.47,50.1,0.7877,0.7231,0.2047
47.19,1567.54,8.23,899.10,8977.18,78.86,3.9918,0.901,0.1769
70.35,564.39,1.58,326.88,127.09,14.47,4.1478,0.7832,0.2449
58.76,1841.73,6.42,468.60,8926.20,19.32,0.9824,0.845,0.1938
67.55,421.77,12.27,812.70,6904.91,59.92,2.6065,0.7138,0.2245
70.46,864.66,16.73,774.95,820.06,5.14,1.8555,0.7919,0.2767
51.5,2105.65,16.9,1596.51,3891.40,60.18,1.9185,0.7116,0.2186
44.68,1772.55,9.85,275.89,6532.59,28.16,2.31,0.7476,0.2296
48.55,523.28,10.73,1814.20,8912.58,32.03,1.1313,0.81,0.2615
55.08,1971.08,3.44,1727.62,1562.80,36.28,1.3329,0.8292,0.1454
67.9,1336.18,12.27,1629.25,1225.16,31.29,2.7685,0.7449,0.2343
69.3,2020.73,1.45,735.21,4420.99,75.11,0.7465,0.8756,0.1157
41.3,1544.60,5.16,1740.64,9018.42,84.45,2.8497,0.7528,0.2339
57.82,1701.53,11.8,487.39,9048.84,48.97,1.833,0.7367,0.2167
54.76,2304.65,5.6,373.06,2154.21,51.99,3.6909,0.7847,0.2187
48.36,831.68,1.09,217.49,3002.12,6.41,2.8504,0.8329,0.2176
45,1589.51,14.63,1968.60,8461.38,63.7,3.2417,0.9294,0.2091
52.14,1272.87,5.6,732.54,6855.27,52.19,1.0928,0.8036,0.1932
72,458.43,1.32,1926.13,9057.53,4.62,1.6409,0.8052,0.2297
51.67,410.08,1.52,663.24,8323.36,17.82,4.2862,0.7242,0.174
58.09,612.81,4.59,1906.45,2035.34,18.13,2.2483,0.8802,0.2244
64.13,1638.17,3.31,1899.33,7086.05,15.37,1.9776,0.7512,0.2047
53,1479.63,13.63,1937.99,490.99,58.84,3.8417,0.8756,0.2243
72.94,1453.05,5.8,1100.92,7624.90,82.88,0.7983,0.9122,0.1688
72.64,443.73,14.16,1824.96,5619.24,68.13,2.6143,0.8807,0.2364
49.33,1290.25,3.24,1991.03,8907.16,42.68,1.4397,0.853,0.2462
57.38,2171.36,8.76,765.06,8943.62,36.14,2.0112,0.8444,0.2162
50.94,1151.48,12.14,949.61,511.85,34.58,1.4017,0.8113,0.2405
50.41,1591.40,11.52,1537.71,1529.23,53.72,0.8155,0.743,0.1971
42.28,1891.15,10.64,717.56,4530.98,32.15,2.1862,0.8831,0.2169
61.06,1899.09,16.24,1605.40,8196.73,20.28,3.5353,0.8165,0.1833
57.56,1386.96,4.19,274.15,7593.49,53.86,4.1244,0.8492,0.2097
42.76,2042.35,8.78,1154.46,8983.84,34.95,2.9368,0.7937,0.2118
50.21,1139.46,15.53,368.95,5772.51,1.39,2.0861,0.7554,0.2503
70.86,2101.83,1.58,703.79,2419.89,2.11,3.4652,0.8892,0.1276
48.93,846.96,1.2,635.85,273.44,24.56,2.5074,0.7867,0.2194
45.82,924.34,4.27,1772.07,2107.95,45.8,2.0093,0.9025,0.2281
57.12,484.88,11.19,508.37,6302.86,31.7,1.3269,0.9243,0.2458
73.4,1921.65,4.73,1712.38,8630.56,2.27,3.5604,0.8944,0.1694
49.01,1189.14,3.52,1684.01,3016.56,20.02,2.49,0.7394,0.1932
63.12,825.46,8.17,1106.26,8161.59,8.72,4.1673,0.8999,0.1535
66.05,830.63,10.85,587.33,3702.76,84.68,3.5813,0.8258,0.2332
48.86,2126.42,4.53,573.72,2899.41,28.01,2.1989,0.7644,0.1797
64.96,1995.83,5.44,1039.77,4759.45,1.45,3.3603,0.7317,0.1531
53.13,1453.25,10.85,146.72,4142.10,59.01,2.3197,0.7726,0.2487
61.81,1574.35,16.6,1169.83,8514.87,20.85,0.9677,0.7414,0.2324
61.85,1299.97,11.91,1994.97,4383.06,50.64,2.5488,0.7168,0.2453
58.64,1140.01,13.78,432.38,2612.52,13.57,3.8123,0.9292,0.2312
44.03,2153.67,6.58,1252.06,7854.27,87.84,3.775,0.8947,0.1958
68.47,625.16,4.94,2012.59,9302.66,86.61,2.7598,0.8743,0.2534
51.59,1191.84,8.09,1814.34,6051.52,58.6,2.0542,0.7537,0.241
47.19,1048.86,14.2,1794.48,2363.30,63.16,0.7152,0.7172,0.2269
42.41,1346.08,8.13,1738.62,2255.30,38.09,1.8058,0.8182,0.2218
60.45,1267.67,14.89,734.53,575.76,85.89,4.2614,0.8749,0.2273
63.29,1386.21,17.35,1873.26,757.40,37.9,3.3083,0.9237,0.2319
41.61,652.84,1.48,1972.58,8525.84,21.47,3.2761,0.8974,0.2167
57.87,1375.09,1.02,1100.21,935.40,10.41,3.4335,0.9084,0.1523
48.5,851.20,2.82,823.71,4532.25,18.68,2.9232,0.7638,0.2079
62.23,738.79,6.88,940.51,6514.75,51.13,2.7992,0.7454,0.2305
46.79,507.54,2.5,783.83,7926.50,21.98,2.3206,0.7658,0.2216
63.73,1857.93,15.3,545.38,1628.92,58.44,2.2855,0.7417,0.2402
53.75,1209.24,0.63,1340.37,4100.42,34.19,3.8308,0.8874,0.1814
71.79,1594.73,5.7,1231.01,2372.75,79.18,2.1028,0.9105,0.2112
45.58,1790.08,3.43,1035.19,2413.02,49.91,3.7202,0.779,0.1987
52.26,1696.66,16.35,317.13,2858.31,55.62,3.7109,0.9047,0.2292
44.79,1292.57,11.82,1689.75,5485.32,49.74,3.469,0.7233,0.2096
71.4,1132.72,16.02,471.98,194.34,79.06,0.8149,0.8607,0.2226
69.85,1109.62,17.06,353.78,3831.37,5.78,1.2142,0.8276,0.2623
49.53,1620.67,8.83,1349.42,1773.21,6.13,1.8177,0.7722,0.1868
62.72,1339.58,4.29,910.00,9009.33,62.68,3.7464,0.8807,0.2011
67.87,2025.28,3.58,246.57,5444.64,68.58,3.8395,0.7579,0.2226
59.28,2074.76,4.09,825.66,8091.02,38.78,0.829,0.803,0.1644
58.44,712.14,12.5,1640.59,1855.37,31.53,1.854,0.8678,0.2596
49,645.71,0.93,1334.10,7552.41,24.9,3.7567,0.7858,0.1876
44.12,1602.00,1.12,839.79,3887.16,21.02,1.5824,0.9,0.1475
70.5,965.00,10.76,505.02,1688.49,81.41,4.2114,0.9022,0.2494
70.6,418.02,11.34,1366.50,7100.13,26.44,2.4497,0.7558,0.2377
61.84,2101.74,11.75,1867.27,7107.23,57.89,4.0714,0.8083,0.185
52.19,821.17,6.67,1394.85,9276.13,70.28,2.2308,0.8065,0.2287
52.52,2180.38,14.18,1721.10,7282.75,2.09,1.8507,0.8016,0.2332
64.88,1770.42,9.47,1150.60,1387.77,3.15,1.9904,0.8219,0.1854
70.5,1857.93,2.06,1535.23,3031.78,29.82,3.8795,0.7275,0.158
70.17,771.94,14.03,1884.25,4229.77,62.17,1.8756,0.9032,0.2528
66.65,835.28,16.73,1643.32,1215.14,23.38,3.1014,0.7751,0.2442
62.13,1390.81,1.27,1910.93,7348.61,0.26,2.3793,0.7115,0.1812
43.83,715.12,7,973.62,4925.03,25.81,4.0872,0.8624,0.1936
46.37,973.14,8.67,1899.90,8799.10,8.16,1.2554,0.8547,0.2528
70.54,1004.16,2.77,1346.47,5505.65,19.69,2.2302,0.9282,0.199
60.96,690.99,15.25,1832.99,4889.79,29.83,1.1297,0.8699,0.2607
41.37,779.14,5.15,206.57,702.98,11.54,2.7713,0.7846,0.2652
44.4,1908.05,13.78,1417.52,1425.59,63.09,2.137,0.9214,0.2235
62.83,705.63,11.84,1789.77,7918.82,22.94,0.8992,0.7918,0.2558
41.24,437.15,10.58,470.55,9227.79,59.05,3.7548,0.8924,0.1847
46.34,1599.98,3.56,1425.22,3890.84,53.52,2.0379,0.7852,0.1996
59.07,2270.75,4.05,1744.70,7553.06,80.17,2.4654,0.7219,0.227
63.76,1023.03,1.05,693.26,5860.62,7.97,2.1537,0.8731,0.1826
62.45,611.70,4.4,922.93,8934.59,19.26,2.4474,0.7884,0.2217
48.43,1485.87,6.21,1244.56,2249.01,77.24,0.7377,0.7859,0.1606
64.43,2136.01,14.65,1145.98,5093.23,73.41,3.6303,0.8692,0.1829
48.85,1899.36,6.57,206.20,3831.64,17.25,1.8815,0.7822,0.2052
51.74,1586.74,13.29,322.67,5064.29,9.73,3.3009,0.7372,0.2232
65.55,991.76,7.84,326.18,2533.91,76.45,0.9135,0.8004,0.2057
62.38,1430.70,13.82,642.98,4656.53,16.01,2.5747,0.893,0.232
68.92,558.65,17.13,610.86,5834.83,77.77,3.9682,0.7398,0.1566
62.64,1695.94,4.38,1582.71,793.78,85.79,2.1201,0.8335,0.2099
59.71,1785.25,15.16,1250.88,6930.81,19.81,1.3926,0.7403,0.2282
44.14,2249.56,10.99,1625.30,6592.66,75.03,1.0372,0.722,0.1971
53.13,885.99,14.38,266.32,8205.67,37.91,3.7882,0.7947,0.1889
49.77,417.80,11.51,1079.50,3989.85,70.43,1.543,0.8564,0.2393
49.07,1437.91,7.57,763.41,612.51,36.44,4.2081,0.7718,0.2185
72.98,1749.83,4.18,1793.62,4320.04,6.4,1.5756,0.8095,0.1629
53.96,1911.64,1.44,1515.29,1316.75,63.65,2.4196,0.8196,0.1848
70.33,756.99,9.5,1831.44,6044.81,13.56,2.3364,0.8969,0.2385
61.77,888.61,17.37,220.37,477.69,82.76,0.9031,0.8919,0.2394
67.14,1374.02,13.01,1540.81,3508.92,37.36,2.6037,0.7116,0.2309
57.56,1021.84,5.9,1186.78,808.87,7.44,3.1134,0.8025,0.199
59.99,2047.30,14.55,1744.79,71.83,20.49,3.3649,0.856,0.2016
57.22,1298.88,13.54,1122.47,8948.48,77.01,2.5702,0.8993,0.1892
47.47,1929.38,5.11,1187.18,9278.35,28.75,3.6199,0.7219,0.1896
64.77,1505.67,0.48,230.83,5192.15,76.45,3.401,0.8498,0.237
50.28,1878.13,2.28,1438.41,2256.60,15.49,1.3807,0.897,0.1191
41.87,1025.85,15.42,664.27,8489.82,41.86,2.1323,0.7674,0.2178
62.24,1991.00,14.71,168.03,8600.53,78.41,1.1947,0.7564,0.1737
46.88,913.42,5.34,259.55,7965.03,4.44,1.1616,0.8144,0.2125
71.92,1438.86,5.17,2003.80,5088.91,27.25,3.2563,0.9236,0.2063
72.36,796.22,13.95,807.08,733.37,81.23,2.5987,0.8641,0.2658
71.08,1302.30,16.46,1829.13,860.76,53.3,2.8539,0.8048,0.2473
53.21,997.80,13.72,2008.48,8355.55,63.97,3.3289,0.7157,0.2082
41.58,898.19,10.71,1976.35,8162.72,75.19,1.6821,0.834,0.2463
71.52,2253.34,4.43,1855.85,4069.06,46.8,2.1314,0.7881,0.1952
55.11,691.85,9.33,1881.54,3083.80,75.48,2.875,0.7521,0.2566
72.78,1905.67,4.27,695.34,6013.99,57.06,1.0284,0.8215,0.1631
72.68,2286.59,14.22,426.04,7524.33,61.24,3.694,0.7865,0.186
69.05,420.59,6.93,1381.12,6826.00,13.75,1.9218,0.7197,0.2345
50.73,1734.80,14.66,1085.16,5749.50,83.82,3.0631,0.8713,0.1868
53.7,871.50,6.84,322.81,2187.56,71.09,4.2822,0.8729,0.2651
68.99,460.43,14.5,1456.07,2474.99,22.79,2.3993,0.8477,0.2625
51.47,1161.73,6,1231.53,6755.36,51.82,1.457,0.8968,0.213
46.63,2191.87,7.85,1819.32,7483.83,33.68,1.462,0.756,0.2255
59.33,404.85,10.88,1322.23,1117.61,58.99,0.8971,0.7743,0.2463
71.78,1519.73,1.45,1253.23,1777.54,88.7,3.4552,0.8124,0.2285
63.9,1352.36,16.64,992.44,6351.05,4.21,1.7407,0.7244,0.2351
59.77,2072.21,10.16,1035.59,3647.94,85.03,1.3038,0.9062,0.175
44.26,544.64,9.02,1998.11,5264.39,6.58,3.262,0.8194,0.214
61.24,1700.94,14.76,400.54,5742.19,41.2,1.7976,0.7828,0.2289
73.54,1698.19,15.22,1003.15,7238.85,43.1,2.8521,0.8166,0.2055
45.66,1676.85,9.27,1413.55,7512.55,24.08,2.191,0.7829,0.2212
58.07,2205.64,16.28,977.29,2638.12,50.64,1.8881,0.7743,0.2161
69.85,1974.88,1.35,683.99,5060.41,74.46,2.4502,0.81,0.1975
65.37,463.30,2.19,692.10,1186.13,26.33,1.8144,0.8175,0.2292
63.93,1293.70,10.56,586.96,7849.16,6.41,3.8298,0.8068,0.179
64.11,1152.18,6.36,802.82,7881.00,56.49,0.943,0.8321,0.194
52.86,982.26,8.27,1836.17,2818.12,67.13,0.7877,0.8841,0.2148
50.7,1255.48,5.91,1118.68,1530.15,85.21,2.1496,0.7237,0.2275
67.62,1125.55,7.24,599.85,690.62,14.35,1.3042,0.8903,0.209
67.64,1218.71,14.47,882.36,5372.74,80.47,3.3707,0.7616,0.1906
69.51,2277.10,10.5,336.68,888.48,43.1,1.9579,0.7668,0.2212
71.02,553.60,17.49,1899.54,6352.21,21.14,1.6249,0.8435,0.2653
57.84,2166.74,13.85,928.71,6329.32,85.94,1.9795,0.9265,0.1848
57.52,1311.41,4.97,2049.04,5734.51,21.38,1.4731,0.7149,0.2194
67.25,1589.11,4.81,809.94,8169.53,65.5,1.7633,0.8597,0.2039
62.39,1988.61,6.04,1767.02,3548.65,70.09,2.7345,0.865,0.2188
64.09,1079.63,14.83,631.46,8407.94,38.5,3.8061,0.8378,0.1702
67.17,1215.01,0.7,278.57,383.04,61.63,2.021,0.7132,0.2287
70.26,1174.56,4.21,191.60,1086.28,51.15,1.8393,0.845,0.243
52.16,1107.24,15.89,1316.32,3863.26,17.25,3.5084,0.7365,0.2016
53.39,2173.12,11.31,739.52,5549.09,67.86,0.7598,0.7283,0.1643
44.15,1986.18,4.16,997.86,340.85,82.84,1.772,0.8648,0.18
60.04,593.01,4.02,1732.35,5302.80,43.68,2.3153,0.8657,0.2418
42.25,591.31,15.16,615.26,2891.31,88.75,2.8528,0.9076,0.2359
56.34,1210.07,15.7,733.80,8267.70,38.27,1.2435,0.7118,0.2203
58.87,573.00,4.66,1784.60,4986.10,42.89,2.2454,0.7947,0.2453
50.47,1580.12,7.51,1094.28,5492.53,60.19,2.7284,0.7138,0.2172
60.45,660.14,14.68,1750.01,8809.98,16.69,2.5256,0.7916,0.2345
42.07,1392.95,13.58,862.68,7127.26,80.52,2.7583,0.8197,0.1907
42.3,396.05,14.32,909.46,4105.00,71.55,3.0763,0.8281,0.2306
68.05,994.74,9.2,456.72,4463.02,77.89,2.0518,0.7897,0.2325
52.88,1692.55,16.01,1923.64,6049.23,54.46,0.9089,0.8712,0.2342
45.24,1318.77,5.87,1885.34,1897.19,78.9,0.8797,0.8029,0.1932
58.2,2275.18,2.94,2056.53,862.73,60.74,3.7869,0.8253,0.1924
66.33,2073.60,12.5,917.45,2926.91,45.73,3.1307,0.8878,0.2148
48.15,1076.94,9.57,1732.29,7259.06,83.18,3.4447,0.7496,0.2091
61.5,470.10,15.02,941.93,2426.94,39.32,4.0406,0.782,0.2228
43.87,2018.49,1.63,1018.97,1253.23,44.75,3.3953,0.8262,0.1804
42.77,2145.46,14.83,1754.58,2071.75,15.24,3.1845,0.8806,0.198
58.5,1970.12,5.31,476.75,6337.17,84.59,3.0522,0.805,0.2134
58.8,629.68,11.57,560.83,5734.15,19.83,1.6146,0.7272,0.2494
61.98,2313.20,0.92,745.70,6423.80,18.08,4.1437,0.9294,0.1419
64.89,882.48,10.78,1672.69,3026.34,9.15,2.6406,0.8674,0.2272
73.08,1783.53,12.65,859.11,8394.83,40.54,1.4824,0.8707,0.217
58,2139.26,6.61,830.75,4230.17,24.52,1.4381,0.8138,0.17
51.66,838.17,3.96,2085.11,4804.60,66.16,3.6296,0.8319,0.2418
67.15,2139.70,9.54,880.95,8839.52,27.54,1.5843,0.9306,0.215
49.95,980.97,14.65,614.59,9122.08,64.37,0.8286,0.8425,0.1859
55.47,2271.59,5.83,1349.70,6175.53,17.6,2.2293,0.7594,0.1842
43.64,926.36,4.6,1699.52,8802.48,20.63,3.6372,0.924,0.1944
41.9,2227.12,5.06,265.76,5062.36,71.98,2.1787,0.8298,0.2051
72.64,485.70,16.66,1341.24,2890.24,33.21,3.5872,0.7157,0.2218
68.49,1754.63,6.45,199.44,2962.67,10.09,3.6729,0.8377,0.2101
63.9,1411.79,0.29,1160.01,5224.03,85.82,3.7832,0.7267,0.2176
54.48,1306.84,13.76,632.65,5651.50,15.94,2.8102,0.8276,0.2262
46.75,814.58,12.33,729.86,4117.46,13.52,3.2105,0.8933,0.2308
46.2,1747.51,2.46,1044.03,8236.40,32.07,1.6265,0.8301,0.1902
49.28,751.33,17.28,1944.71,3997.64,8.65,1.0395,0.7936,0.2704
59.08,1451.91,10.76,1520.93,2576.25,14,2.6071,0.906,0.2126
64.51,872.15,8.9,1963.78,114.63,75.57,0.7169,0.9159,0.2228
62.72,2231.35,6.85,1421.67,9041.33,15.42,2.3644,0.7878,0.2136
50.25,437.49,15.79,143.39,7685.00,10.06,1.0481,0.8213,0.2632
72.39,768.58,4.45,649.48,5749.09,78.56,1.071,0.9281,0.1933
65.27,850.99,5.18,1902.94,7742.77,39.69,3.8306,0.7504,0.2069
59.25,1183.36,2.35,1389.31,7554.95,14.14,2.9971,0.7769,0.1894
61.13,832.45,13.37,2051.50,8682.27,51.96,3.0142,0.8057,0.2285
54.83,1332.91,10.54,434.84,3620.87,3.83,2.1427,0.7334,0.2332
49.2,2070.43,10.77,710.49,5186.12,38.22,2.1745,0.7712,0.214
52.75,1760.03,4.01,838.97,955.25,52.74,1.7758,0.8314,0.1842
65.93,1504.39,11.5,768.86,8992.61,85.44,2.2508,0.7616,0.1873
41.54,554.31,13.48,622.86,9176.33,29.23,2.8038,0.8626,0.2148
44.88,1725.06,6.43,997.76,7358.30,68.32,1.354,0.7879,0.1922
42.58,704.12,14.1,1387.06,4251.97,11.96,1.6258,0.7309,0.2497
42.41,1903.82,6.27,738.90,4645.60,38.78,2.4695,0.8799,0.2053
69.13,865.98,13.35,285.52,4078.05,20.02,2.0714,0.8364,0.2683
